기간,원자력,석탄_유연탄,석탄_무연탄,석탄_계,유류,LNG,양수,신재생_연료전지,신재생_석탄가스화,신재생_태양,신재생_풍력,신재생_수력,신재생_해양,신재생_바이오,신재생_폐기물,신재생_계,기타,합계
2009/08,35.50909545,56.55363913,93.08581316,57.86403993,248.42663597,119.54114136,133.24422239,73.6656976,,86.0105518,73.4427817,91.1854372,0,72.9482516,5.1652741,78.6323983,1338.06121652,61.54571549
2009/07,27.78776746,54.53832388,83.77346666,55.48514728,343.08209395,103.55309325,107.85046624,64.3777977,,73.8425666,63.5549184,79.842194,0,64.6407813,3.9080276,71.1244403,5508.90531062,54.6095191
2009/06,24.50595898,51.89281937,83.76960734,52.89116998,203.91670957,98.02347379,120.62110304,72.2921399,,81.202372,72.6731303,90.8812285,83.3333333,73.2997486,2.4425654,64.996977,4923.435615,51.12152531
2009/05,28.9568271,60.69356174,96.61947744,62.31789298,134.41194744,124.75157868,142.76925215,92.4158408,,98.0553922,92.3441731,109.8969522,98.9583333,92.5899851,6.0799828,84.9246911,1272.66530222,58.356003
2009/04,33.47900252,58.89494248,110.1890772,61.19456102,119.67670201,135.30282904,169.46038138,113.179983,,115.5707109,113.1813448,130.2601609,0,113.2098236,12.5782738,107.6870746,738.2878368,64.5666913
2009/03,36.139092,63.77163434,119.69626138,66.42156102,115.31585365,144.31420738,181.38199548,125.5411207,,124.2496126,125.8752895,141.9088072,0,124.9772332,9.9465259,116.7247275,794.30704441,71.24116758
2009/02,43.46760084,73.32612244,148.97530149,76.89110106,124.57048072,183.22277407,232.33479835,159.2389541,,159.5115477,158.1530128,181.3308451,0,159.5098795,9.438833,138.577984,1527.38336123,84.92556944
2009/01,47.50326752,75.97765756,163.14258832,79.71901563,144.48122326,195.15084133,255.1158538,153.049564,,150.9235691,151.9749497,187.9856805,0,155.0332087,3.527675,147.9237536,1128.9515477,91.40206271
2008/12,46.03567692,65.79875743,157.1602996,70.19174858,199.89802756,181.56165792,275.8928813,165.698799,,168.101673,167.0397693,186.7402219,0,165.6014604,2.7467888,113.9028797,4030.66635745,85.40049857
2008/11,44.37584261,61.19737286,150.13827174,65.44332003,234.95421465,173.06013086,254.67390422,158.0949197,,162.3519388,159.2873094,182.1160868,0,158.9994364,14.5002999,153.6739734,825.81825209,81.87952203
